iso,country_name,GCAM_region_ID,region
hun,Hungary,12,EU-12
idn,Indonesia,18,Indonesia
imn,Isle of Man,13,EU-15
ind,India,17,India
irl,Ireland,13,EU-15
irn,"Iran, Islamic Republic of",21,Middle East
irq,Iraq,21,Middle East
isl,Iceland,16,European Free Trade Association
isr,Israel,21,Middle East
ita,Italy,13,EU-15
jam,Jamaica,9,Central America and Caribbean
jey,Jersey,13,EU-15
jor,Jordan,21,Middle East
jpn,Japan,19,Japan
kaz,Kazakhstan,10,Central Asia
ken,Kenya,2,Africa_Eastern
kgz,Kyrgyzstan,10,Central Asia
khm,Cambodia,29,Southeast Asia
kir,Kiribati,29,Southeast Asia
kna,Saint Kitts and Nevis,9,Central America and Caribbean
kor,"Korea, Republic of",28,South Korea
kwt,Kuwait,21,Middle East
lao,Lao Peoples Democratic Republic,29,Southeast Asia
lbn,Lebanon,21,Middle East
lbr,Liberia,5,Africa_Western
lby,Libyan Arab Jamahiriya,3,Africa_Northern
lca,Saint Lucia,9,Central America and Caribbean
lie,Liechtenstein,16,European Free Trade Association
lka,Sri Lanka,27,South Asia
lso,Lesotho,4,Africa_Southern
ltu,Lithuania,12,EU-12
lux,Luxembourg,13,EU-15
lva,Latvia,12,EU-12
mac,Macau,11,China
mar,Morocco,3,Africa_Northern
mco,Monaco,13,EU-15
mda,"Moldova, Republic of",14,Europe_Eastern
mdg,Madagascar,2,Africa_Eastern
mdv,Maldives,27,South Asia
mex,Mexico,20,Mexico
mhl,Marshall Islands,29,Southeast Asia
mkd,"Macedonia, the former Yugoslav Republic of",15,Europe_Non_EU
mli,Mali,5,Africa_Western
mlt,Malta,12,EU-12
mmr,Myanmar,29,Southeast Asia
mne,Montenegro,15,Europe_Non_EU
mng,Mongolia,10,Central Asia
mnp,Northern Mariana Islands,29,Southeast Asia
moz,Mozambique,4,Africa_Southern
mrt,Mauritania,5,Africa_Western
msr,Montserrat,9,Central America and Caribbean
mtq,Martinique,9,Central America and Caribbean
mus,Mauritius,2,Africa_Eastern
mwi,Malawi,4,Africa_Southern
mys,Malaysia,29,Southeast Asia
myt,Mayotte,29,Southeast Asia
nam,Namibia,4,Africa_Southern
ncl,New Caledonia,29,Southeast Asia
ner,Niger,5,Africa_Western
nfk,Norfolk Island,29,Southeast Asia
nga,Nigeria,5,Africa_Western
nic,Nicaragua,9,Central America and Caribbean
niu,Niue,29,Southeast Asia
nld,Netherlands,13,EU-15
nor,Norway,16,European Free Trade Association
npl,Nepal,27,South Asia
nru,Nauru,29,Southeast Asia
nzl,New Zealand,6,Australia_NZ
omn,Oman,21,Middle East
pak,Pakistan,22,Pakistan
pan,Panama,9,Central America and Caribbean
pci,Pacific Islands Trust Territory,29,Southeast Asia
pcn,Pitcairn Islands,29,Southeast Asia
per,Peru,26,South America_Southern
phl,Philippines,29,Southeast Asia
plw,Palau,29,Southeast Asia
png,Papua New Guinea,29,Southeast Asia
pol,Poland,12,EU-12
pri,Puerto Rico,1,USA
prk,"Korea, Democratic Peoples Republic of",29,Southeast Asia
prt,Portugal,13,EU-15
pry,Paraguay,26,South America_Southern
pse,"Palestinian Territory, Occupied",21,Middle East
pyf,French Polynesia,29,Southeast Asia
qat,Qatar,21,Middle East
reu,Reunion,2,Africa_Eastern
rom,Romania,12,EU-12
rus,Russian Federation,23,Russia
rwa,Rwanda,2,Africa_Eastern
sau,Saudi Arabia,21,Middle East
scg,Serbia and Montenegro,15,Europe_Non_EU
sdn,Sudan,2,Africa_Eastern
sen,Senegal,5,Africa_Western
sgp,Singapore,29,Southeast Asia
shn,Saint Helena,13,EU-15
sjm,Svalbard and Jan Mayen Islands,16,European Free Trade Association
slb,Solomon Islands,29,Southeast Asia
sle,Sierra Leone,5,Africa_Western
slv,El Salvador,9,Central America and Caribbean
smr,San Marino,13,EU-15
som,Somalia,2,Africa_Eastern
spm,Saint Pierre and Miquelon,13,EU-15
srb,Serbia,15,Europe_Non_EU
ssd,South Sudan,2,Africa_Eastern
stp,Sao Tome and Principe,5,Africa_Western
sur,Suriname,25,South America_Northern
svk,Slovakia,12,EU-12
svn,Slovenia,12,EU-12
swe,Sweden,13,EU-15
swz,Swaziland,4,Africa_Southern
syc,Seychelles,29,Southeast Asia
syr,Syrian Arab Republic,21,Middle East
tca,Turks and Caicos,13,EU-15
tcd,Chad,5,Africa_Western
tgo,Togo,5,Africa_Western
tha,Thailand,29,Southeast Asia
tjk,Tajikistan,10,Central Asia
tkl,Tokelau,29,Southeast Asia
tkm,Turkmenistan,10,Central Asia
tls,Timor Leste,29,Southeast Asia
ton,Tonga,29,Southeast Asia
tto,Trinidad and Tobago,9,Central America and Caribbean
tun,Tunisia,3,Africa_Northern
tur,Turkey,15,Europe_Non_EU
tuv,Tuvalu,29,Southeast Asia
twn,Taiwan,30,Taiwan
tza,"Tanzania, United Republic of",4,Africa_Southern
uga,Uganda,2,Africa_Eastern
ukr,Ukraine,14,Europe_Eastern
ury,Uruguay,26,South America_Southern
usa,United States of America,1,USA
uzb,Uzbekistan,10,Central Asia
vat,Vatican,13,EU-15
vct,Saint Vincent and the Grenadines,9,Central America and Caribbean
ven,Venezuela,25,South America_Northern
vgb,"Virgin Islands, British",13,EU-15
vir,"Virgin Islands, U.S.",1,USA
vnm,Viet Nam,29,Southeast Asia
vut,Vanuatu,29,Southeast Asia
wlf,Wallis and Futuna,13,EU-15
wsm,Samoa,29,Southeast Asia
yem,Yemen,21,Middle East
yug,"Yugoslavia, Federal Republic of",15,Europe_Non_EU
zaf,South Africa,24,South Africa
zmb,Zambia,4,Africa_Southern
zwe,Zimbabwe,4,Africa_Southern
